name,title,review,rating,rating_out_of,date
Gagandeep Singh,Short review,Very nice quality. Earlier i was skeptic about purchasing this online. But the quality was too good. Wished the prices decreases . Else all good.,4.0,5.0,2021-11-16
Customer,Very good,Felt it’s original..not very sweet ..I liked it.,5.0,5.0,2021-11-15
Akash,Higly recommended,Super awesome. I am so happy with the speed of delivery. It was just 9-12 hours. Also quality of product is up to the mark.,5.0,5.0,2021-11-15
Arina K.,Very perfect,"Pleased to get documents by brand for what they r known .. best packaging ever recvd ,,quite thick honey .. feels worth the penny",5.0,5.0,2021-11-14
deepkamal,Good honey,"I think it's pure honey. The texture, taste and brand test report seems to be trustable.",4.0,5.0,2021-11-14
Bharath,It's yummulicious..,One of the best pick in Amazon for raw unprocessed organic honey...it's yummulicious..the quality is very good ...budget friendly...sturdy packaging...must try one..,5.0,5.0,2021-11-14
Jai K,Fantastic value and great product,The packaging was done with great care and an amazing tasting product. I highly recommend it,5.0,5.0,2021-11-13
Amazon Customer,"Thick, Delicious 👍",Authentic taste; 3 days of use and my tongue got subtler already. One table spoon With warm water and I feel High energy through the day. Thank you 🙏,5.0,5.0,2021-11-13
Suraj,Good quality,Good quality and pure,5.0,5.0,2021-11-13
PLG,Satisfied with the product,Happy with the quality. Have placed repeat order.,5.0,5.0,2021-11-13
Amazon Customer,Good but highly expensive,Honey is good quality but who can do the test for its purity. the product price is too high.,4.0,5.0,2021-11-12
anurag malhotra,Actual Honey 🍯. Valued our money💰. Perfect product,"Trust me, I thought 4-5 times before buying this because all honey products make us fool. I decided to give a try to this Indigenous Honey brand also and it fixed a spot for always. The taste, the texture, the quality all are perfect. I got impressed by its packaging also. Fully and tightly sponge packed jar when I saw and holded in my hand it declared its worth. It's quality forced me to write a long review with full of my experience with this, so that everyone can buy and eat a genuine Honey. Thanks for making and selling it.",5.0,5.0,2021-11-12
Akshay,Good honey with Good money,Good quality,5.0,5.0,2021-11-12
Bhavesh  Yadav,Superb products... 👌👌👌,"Great quality, Awesome test, value for money and and Nice packaging...",5.0,5.0,2021-11-11
Rahul Pramanik,Fake honey,"Initially believed their claims and I was a regular buyer of this product. Later on, found out that this brand uses cheap Chinese syrup/all pass syrup to adulterate the honey. Because of this, the honey failed the NMR test. Will never buy again.",1.0,5.0,2021-11-11
Suresh,It's not good,Waste of money,1.0,5.0,2021-11-09
Amazon Customer,Worth money,Guess original ingredients differ than adulterated ones would love to buy it again,5.0,5.0,2021-11-09
Javaid Khan,Taste and flavour both are good,It is far better than most of the honey available in market. It is evident from our continued use of it,5.0,5.0,2021-11-08
NEEL,Best honey,Very nice,5.0,5.0,2021-11-06
MdRafat Alam,Original quality,Very testy and supper fine,5.0,5.0,2021-11-06
Ravi kumar prajapat,Awesome product,"Worth buy , original and good quality pure honey",4.0,5.0,2021-11-05
prabu,Not a Raw honey,"I think this honey directly collect from the different flowers, not from honeybees, because the taste was completely different from real honey.",3.0,5.0,2021-11-03
Raincoconuts,"Adulterated, awful...","This is poor quality honey. Cheap corn syrup or some other artificial sweetner mixed in. Extremely sweet for raw honey and the sweetness has an aftertaste almost like aspartame. Disappointing purchase, awful stuff, poor taste, some nausea, can't use, buyer beware.",1.0,5.0,2021-11-02
SONNIA TALWAR,"Good quality product, super raw taste!",,4.0,5.0,2021-10-31
Shobha Mohan,Packaging was superb,Very good product,5.0,5.0,2021-10-31
Dr Laljee Tiwari,"Honey or jam, God knows.","This is not a honey but seems to be jam or jelly, semi-solid and hard.No taste, no flavour, appears very bad.It may be a rotten, poisonous food item, not honey.",1.0,5.0,2021-10-28
Sougata Sarkar,Good,Very good product,4.0,5.0,2021-10-27
Dineshkumar,"Organic, original","In my life time,first I saw the honey comb when I try to dissolve in water....so I think it's original type....so u can try for it.....",5.0,5.0,2021-10-26
Mati,Ok,Ok,5.0,5.0,2021-10-24
Amazon Customer,I am doubtful about the purity,"After 6-8 months we found sugar crystals inside the honey Jar. This never happens with raw honey, i have 2 year old raw honey harvested from my native place and it never changed its taste and form",3.0,5.0,2021-10-24
MuSa,Product is very good,Product is very good but i think you should add nmr test report copy inside every package you deliver. I am requesting it since many days but dis not get any response from you.,5.0,5.0,2021-10-24
Sujatha Chandrasekaran,Pure Real Honey... I tasted in my life for the first time..,,5.0,5.0,2021-10-24
Amazon Customer,Authentic.. good job!,Love the taste. Not exceptionally sweet like the sugar containing ones from the market. Certifications included. Passes all at home tests of authentic Raw honey. Tastes amazing. Tastes pure.,5.0,5.0,2021-10-23
Dhruv Gupta,Okayish... Nothing great!!,"I have been consuming wild organic honeys for some years now. Used to buy them from known local and reliable sources. Such pure honeys have certain signature smell, taste and add depth to the drink (geen tea for me) .This Indigenous honey seems like a blend (bcuz they procure from various locations). Though it may be pure but it tastes more or less like other cheaper honeys (tastes less sugary than others but still sugary). You'll have to spend a bit more to get better honeys. I would recommend, based on my experience1) honey and spice -> either wild honey or kashmiri one (both cost ₹540)2) kudrati organics wild honey ( ₹600 )",2.0,5.0,2021-10-23
Anoop R,Excellent,Excellent product. Great taste.,5.0,5.0,2021-10-23
mohammad fazal,Excellent packaging and good quality,"It is my first time experience with a honey jar packed soo good, it was out of my any sort of expectations. Amazon really did a great work and yes the vendor too.",5.0,5.0,2021-10-22
Anwar W Khan,Good,Flavour,4.0,5.0,2021-10-21
Amazon Customer,This is just a sugar syrup,"It is too thick to be honey and is a sugar syrup. This is no where close to pure honey. If you are looking for a pure honey, this is not the product for you.",1.0,5.0,2021-10-21
Divya Singh,Purest and unadulterated form of honey,Best honey consumed so far NMR tested honey for extra surety ….. thank Indigenous honey for bringing such good quality honey when rest of the people are fake and selling adulterated honey,5.0,5.0,2021-10-21
Raj,Bad product,Bad productsHoney me  full Suger addDelivery not safetyNo returnedNo refunded,2.0,5.0,2021-10-21
Rakesh,Good Quality to be honest and Worth & satisfied,Good Quality to be honest and Worth & satisfied,5.0,5.0,2021-10-17
Amazon Customer,Very good,Very good product,5.0,5.0,2021-10-17
Syed mehraj,Amazon very good service it's,Very good product,4.0,5.0,2021-10-17
bandeeta,Very sweet. Doubt it's originality.,Too sweet. Doubt it's originality,1.0,5.0,2021-10-16
amit das,Don't be cheated,Don't be cheated.,1.0,5.0,2021-10-15
Debajita Biswas,Not good,Not good...it has been processed ....... natural honey can't be this much dense....we also used to cultivate honeybees...,1.0,5.0,2021-10-15
Dr salmaan ali,So far so good ),"Just waiting for long term effects as i have very demanding schedule and  very demanding metabolism , lets see) 🤞🏼",5.0,5.0,2021-10-14
Dipti,Looks like sugar syrup but it isn't.,Its raw honey but its good.,1.0,5.0,2021-10-13
Direct Hit,Tasted and splitted out. Full country sugar or brown sugar syrup,"Full waste of money, if people know the real taste of honey, they won't accept at first spoon, test review everything is fake. Total waste of money can't even return took one tasted and spilt it out.. Full drama flower, honey, honey bee, total sugar syrup",1.0,5.0,2021-10-12
Amazon Customer,Best ever honey,"Best honey I have purchased till date..taste, smell, aroma, consistency everything 10/10👍🏻",5.0,5.0,2021-10-12
Penugonda Satya Anand,GOOD CHOICE,HAPPY TO USE IT IN THE MORNING WITH LUKEWARM LEMON WATER,5.0,5.0,2021-10-11
Sameera,The best honey 🍯 available in market today.,Tastes good and no doubt this is pure honey.,5.0,5.0,2021-10-11
Benitta Joseph,Nice.,Its very nice,5.0,5.0,2021-10-11
sonia,Best quality,My bottle is about to get finished soon. Next winters are coming and definitely i will buy one more.,5.0,5.0,2021-10-10
Battu,Good in taste,Good product,5.0,5.0,2021-10-10
Abhilash K,"Scam! Indigenous honey passed tests for C3 and C4 sugar and for TMR, but failed on NMR.","Indigenous honey passed tests for C3 and C4 sugar and for TMR, but failed on NMR. This is pure scam!  Check the news.",1.0,5.0,2021-10-10
Kiran I,Must buy,"Actual honey, nothing else and they care about the customers.",5.0,5.0,2021-10-09
suju,Excellent,,5.0,5.0,2021-10-09
Mathur Manish,Good honey,"Me and my kids likes the taste and flavour of the honey. However even i didnt test it for its purity, but i believe that it is good.Very nice and sturdy packaging used for delivery.",5.0,5.0,2021-10-09
manigandan,excellent,Natural,4.0,5.0,2021-10-08
MSS,Am completely satisfied and believe that this is original honey.  Awesome,Original,5.0,5.0,2021-10-07
John Samuel,Good..,Nowadays we can't find the honey is original or not due to chemicals. Just purchased it after seeing many good reviews. Overall compare with other companies I feel it is better. Thank you company.,2.0,5.0,2021-10-07
Aditya Soni,Yummy,Must buy. Best raw honey out there with yummy taste.,5.0,5.0,2021-10-07
Tilotama B,Great quality!,"Loved the honey, great quality!",5.0,5.0,2021-10-07
Aibhi biswas,Good honey in affodable price,Iys a good honey ig you are looking for non commercialized honey which is healthy. It is purer than the commercial ones . It dorsnot crystalize like commericial ones which means has no sugar or less sugar content. I use it as spread and in my tea. Its a bit pricy but so is good honey. Taste is good and doesnot have any artificial smell. I did the warm water test amd it does show the comb formation. This is my 3rd time ordering. The jar comes very securely packed and thays good since its a glass jar and has a certificate and information about the place and process. Thats nice. Definately worth a try.,4.0,5.0,2021-10-07
Anjitha,Loved it,"I can say it's pure, Natural",5.0,5.0,2021-10-06
Aditya Yadav,Faith restored ! Not all product we buy are fake,"Thanks to providers . Keep packeging and delivery aside ..i will just focus on honey .Quality —excellent , texture , aroma is exactly same as i used to get in my village in childhood. The frothy margin or supernatant is also there.. thats the honey i got finally after several hit and trial. What product i received is excellent and i will order again. This time i just bought 500 gm only to test .. i m Satisfied and anyone can buy if searching for organic  honey. Thanks to beekeepers …I m still searching for a good quality tea , if anyone can help , thanks in advance",5.0,5.0,2021-10-06
Bharathi M.,Super natural,Quite good,5.0,5.0,2021-10-04
SARAFUDHEEN V T,Good,Good,5.0,5.0,2021-10-03
Shaik Khaja,100% Pure and raw honey,Truly amazing and genuine product.. Indigenous is pure among other brands,5.0,5.0,2021-10-01
Amazon customer,Original Honey,"Pure honey,value for money, keep the quality, don't compromise with the originalality of honey.thanks INDIGENOUS people for providing the original pure honey.",5.0,5.0,2021-09-30
Ankita Jain,A must buy product,"The honey is really good, value 4 money as well when we get a good product. Really satisfied 😌",5.0,5.0,2021-09-28
Snehal,Pure and original,Very very tasty and very impressed with the packaging.  Great product,5.0,5.0,2021-09-27
Mukund,It is not pure honey,Worst honey I have purchased. It is not pure honey. The company is selling sugar in the name of honey. My money got wasted. Please don't buy this honey.,1.0,5.0,2021-09-27
Amazon Customer,Honey,Pure honey,4.0,5.0,2021-09-27
San,Good,Good,5.0,5.0,2021-09-26
surender singh,100% raw honey,,5.0,5.0,2021-09-26
Viral Dhrangadharia,Original Honey,This is good honey. 👍you can bue it without doubt. Good for health.,4.0,5.0,2021-09-26
Nidhi,Indeed pure honey..far better than any brands..,Very good quality.,5.0,5.0,2021-09-25
dr.bharat chauhan,Nice taste,Good packing and nice product...Taste is original,5.0,5.0,2021-09-25
Soumya,Super Honey,I bought previously two times and this is my 3rd time. It's really good product. After use once you never go for another honey. So try it and help our indian company to grow further,5.0,5.0,2021-09-25
Akash,Best honey ever,The best honey i have ever tasted👌,5.0,5.0,2021-09-25
Raj,Best Honey,Best flavour best honey pure honey,5.0,5.0,2021-09-24
RK,"Bad product, foul smell","Foul smell just after opening the bottol, white crystals formed.",1.0,5.0,2021-09-23
Madhu Madhu,Taste like sugar pakam,Wate of money it's not ahoney,1.0,5.0,2021-09-22
Apurba Jyoti Chamua.,"Super quality, it is good for skin. I have been used Redmi note four mobile for a long time.",I also like it. I bought it for my family.,5.0,5.0,2021-09-22
AG,Beautifully presented with premium packing!,Never seen such meticulous care for packing.The honey glass jar was in a cradle of thermocool cut perfectly to hold in place. Loved the product info attached to the package. Kudos to the efforts of the packers and supply chain personnel!!,5.0,5.0,2021-09-22
Makesh,About the taste.. over sweet.. not real honey taste,Too much sugar... I think it's not pure honey.. bcz over sweet .. real honey not in this taste...,1.0,5.0,2021-09-21
G.K.Dhall,Authentic raw honey,"The flavour, the taste, the viscosity…everything perfect.",5.0,5.0,2021-09-20
Arindam Saha,Excellent,It was little over priced but when I Have used it got to know that why the value is high. Pure,5.0,5.0,2021-09-18
Mushtaq,Good,Good,4.0,5.0,2021-09-17
yogita T,Absolutely original,I love that these PPL are delivering right kind 9f product ...usually when we buy any honey form any seller .its having tendency to convert into sugar layer which shows the impurity of the honey..original honey you will never get such  kind of thing..,5.0,5.0,2021-09-17
Chandresh kumar verma,Best quality product,I am feeling a good as compare to other brand,4.0,5.0,2021-09-16
PK,Nothing different,Nothing different from regular honey.  Same taste but expensive!!,2.0,5.0,2021-09-16
Rajesh Monga,"It’s a good product, company is genuine, good service.","Genuine product, no issues.",5.0,5.0,2021-09-16
Sunil S.,BEST ! GO for IT,Best ! Pure and Organic. Lab Certificate for testing qas given. Taste is good same as pure Honey,5.0,5.0,2021-09-16
Gufran Khan,Not a honey look like sugar,Very bad product,1.0,5.0,2021-09-15
anuj,Value for Money,When you have it's automatically you will feel the Origanility.,5.0,5.0,2021-09-15
Amazon_customer,Pure and tasty,"Great packaging, taste & purity. Would be better if the cost was reduced by a bit due to its increasing demand.",5.0,5.0,2021-09-15
Prasad,Good,I like this product,4.0,5.0,2021-09-15
D.R.,"स्वाद अच्छा हैं, पैसे वसूल","पसंद हैं,",5.0,5.0,2021-09-14
Pramod Chawla,Very much satisfied with the product.  THANKS for the product,Very much satisfied with the product.  THANKS for the product,5.0,5.0,2021-09-14
John,Organic product,"It definitely meets and clicks all boxed, excellent packaging. But if we can make the prizing more competitive it will help.",5.0,5.0,2021-09-14
Fabienne,Excellent,Best quality !,5.0,5.0,2021-09-13
Amazon Customer,It's different from other commercially sold honey,Worth trying it out....,4.0,5.0,2021-09-12
Vinay Raje,Excellent Product,"I received this product in Very Good packing, ontime delivery. More to add to this This RAW Honey is an excellent Product.Natural flavour, Value for money.Supplier is doing really a good job.I am more than Happy with this Raw Honey.👍",5.0,5.0,2021-09-11
Gopal Bisani,Pure,Can feel the taste of purity also rightly priced,5.0,5.0,2021-09-11
Rev. Ch Babuu,Organic Raw Honey,This Organic Raw Honey is rich in flavour and taste; that's why I have ordered multiple times. The save and subscribe option is good however they should keep more payment options.,5.0,5.0,2021-09-11
PASS AGRO,Detailed lab report,It has all the certificates but it still has sugary flavour,4.0,5.0,2021-09-11
chethanlpatel,It's not natural,I am farmer I have tasted natural honey  100 times around my village or in my farm or in the nearby woods but this seems to be something different....my opinion it's not a natural one.,1.0,5.0,2021-09-09
Laxmi Rawat,Good quality,Good taste and real honey,4.0,5.0,2021-09-07
Soni S.,it's better then other brands,used this product in tea,5.0,5.0,2021-09-07
Dilip Kumar,खरीदने और खाने योग्य है,अगर आपको शहद पसंद है तो एक बार इसे अवश्य खरीदें,5.0,5.0,2021-09-07
Esdiels,Normal,Good flavour,3.0,5.0,2021-09-07
RP Reddy,Excellent quality,Quality is excellent I liked it,5.0,5.0,2021-09-05
Sarika,Value for money,As expected,5.0,5.0,2021-09-04
Mahesh Dontula,Worth product,Very good taste and flavour but the price is little higher,4.0,5.0,2021-09-03
sirisha,Value,I liked it much the flavor was much good so I prefer to order this,5.0,5.0,2021-09-03
Amazon Customer,Very nice,Good,5.0,5.0,2021-09-02
Amit Mandal,3 Bottle Down,"Using on regular basis, good for health. Using for Healthy reason. Try having everyday 1 spoon empty stomach you will feel the difference.Go got it, within 2 months 3 bottle over.",5.0,5.0,2021-09-02
ANISH KUMAR,"Original Honey, must buy product.",Excellent Honey in all respects.,5.0,5.0,2021-09-02
Bumble bee,Excellent quality honey,"Being a honey loving family, we love tasting, eating and gathering honey from different parts of the country. So when I was recommended Indigenous Honey, I wasted no time in buying it. Trust me, the day the 500 gm bottle arrived, it got half finished the  same day. Everyone just loved it. It’s pure, great tasting and very flavourful. I even gifted it to my brothers on rakhi day.",5.0,5.0,2021-09-02
Jisty Joseph,Best quality honey,One of the best honey you could purchase,5.0,5.0,2021-09-02
Rahul Katikineni,Natural honey,You can immediately notice the difference in quality from other commercially available honey. Available at a premium but definitely worth it.,5.0,5.0,2021-08-28
Soroosh,Taste of real honeygood flavoir and real value for money,Good flavour and real value for money,5.0,5.0,2021-08-28
Sim21,Pure Honey,"Finally ! Found my desired product pure,organic honey ..... i am just loving it each every spoon. It gives so quick relief in cold,cough..... so have full trust on it. A must have for every home. Thanks for collecting,bringing to us. 😊👍👍👍👌👌👌",5.0,5.0,2021-08-28
NN,Great Honey and true taste,Great quality honey. You can clearly taste the difference between this and other popular brands.I used it to sweeten tisane and could clearly see that it didn’t produce any discolouration as compared with other famous fmcg brands.The package came with a detailed explanation and certificate proving the purity of the honey - which I thought was rather cute! Highly recommend this product.,5.0,5.0,2021-08-27
Mukesh Mahla,Authentic,"I usually dont write reviews, but this is the best honey I have ever used.... Its just like raw honey I used to use in my village from our farms...",5.0,5.0,2021-08-27
Siddhraj sinh jethwa,Honey is said to be nature’s gold.,"It’s pure, raw, unpasteurized, and comes straight from the hive to the jar thanks burly, am certainly grateful for your recommendations about this honeyso far.but it’s no surprise that its Raw Honey earned the top spot of best honey overall. I will buy again .",5.0,5.0,2021-08-27
Jeet Thakur,Organic indeed,Tastes like normal honey. But thick and yummy. Got the white foam and the information pages explaining the authenticity and proof of the honey.,5.0,5.0,2021-08-26
alim,purity guarantee,nice and original honey 🍯,5.0,5.0,2021-08-26
Pappu Majumder,NA,I like the taste,5.0,5.0,2021-08-26
Amazon Customer,Natural,Good,5.0,5.0,2021-08-26
Dr. Rajesh Paliwal,Fungus on upper layer,,1.0,5.0,2021-08-26
Pamela B.,Too thick,Texture is too thick. I previously got some fresh honey sourced from Sundarbans and loved it. It was flowy not too thick.I guess it depends on where it is procured from.,3.0,5.0,2021-08-25
PRATEEK,Just try it once,"Taste seems fine to me , not too sugary. Well packed",5.0,5.0,2021-08-25
Mohammed abdulhafeez,It should concentrate on the quality fir further compliance,The packaging abd the quality,4.0,5.0,2021-08-25
Karma,Deliciously thick,"Beautiful.Not suited for infants, wish I was known that.",4.0,5.0,2021-08-24
Praveen Kumar,Thick yummy delicious honey,"Very good packaging, excellent quality raw honey, tastes awesome",5.0,5.0,2021-08-23
Sundar,Worst product.. only sugar syrup,"I believed after seeing the product title, packaging and eveeything. But appearances can be deceptive. Proved after tasting worst taste. I being born in the village area, know the difference between real honey and fake one. This is full of sugar syrup and processed one. The white foam forming is the sugar syrup foam. This sugar syrup has nothing to do with honey",1.0,5.0,2021-08-22
arjun mahto,Quality is good. But need better in taste,With all certificates it satisfies customer for the product quality.Everything is good but the company has to improve in taste and smell things as its consuming product which definitely depends on taste and smell.,4.0,5.0,2021-08-22
arfat,Best ever,Best honey,4.0,5.0,2021-08-22
JACK L DARKIM,No doubt genuine organic product,Highly standarded packaging,5.0,5.0,2021-08-21
Shivang,100% pure,I like this....,5.0,5.0,2021-08-16
vijay,Expensive but awesome,"I tried a couple other brands after I bought this one coz I thought it was too expensive.Yeah now I know why it's expensive.Never buying any other honeyIf you want quality, you gotta flash the cash guys.This honey is worth the extra .Plus peace of mind",5.0,5.0,2021-08-16
Dr.Aditya Parashari,It could be cheaper littlebit,It could be cheaper compared to other same product. Introduce 1kg economic pack,5.0,5.0,2021-08-14
Provin Bhat,Value for money,Great product.,5.0,5.0,2021-08-14
Gouse Basha,Good item coparitively other items,"Believing natural,and value for money!!",4.0,5.0,2021-08-13
Rathipriya,One of the best honey ever tasted,Just go for it . Worth every penny . Been searching for organic raw honey and tried almost everything available bt always disappointed. Finally found the best . Guys just grab yours n you’ll never b disappointed,5.0,5.0,2021-08-13
Kumar,Superb,I can't expect. This honey is thicker like jam. I like very much and good taste,5.0,5.0,2021-08-13
Neeraj,Pure Honey,"I've been using other brands like Saffola, Dabur, APIS and Patanjali for almost last 4-5 years, however Indigenous Honey is far better then all of them. You would love the falvour, texture and smell of the honey. I found this honey to be thicker than all other, though its not a criteria of Purity, but still I like my honey to be thick. Its bit on the expensive side, but I believe I can shed extra bucks for quality and purity of honey.",5.0,5.0,2021-08-13
Jaspreet kaur,It’s original. So worth trying u will definitely feel the difference.,"I just tried so many honey but this one is really different from all of them and somehow feel pure.Also, they provide u a booklet explaining all about honey which will help u differentiate.",5.0,5.0,2021-08-13
Venkata Reddy,Pure honey,Good,5.0,5.0,2021-08-13
Munnie,Healthy and Tasty,Honey is very good and tasty,5.0,5.0,2021-08-12
Ravi Tandel,Nice flavor,Nice flavor,5.0,5.0,2021-08-12
veda,Good one,Go for it,4.0,5.0,2021-08-11
Dilip Mayur,I am loving it..!!!,I am loving the Honey I bought...so different I'm taste and feels very genuine. Please keep up the good work in providing such a original taste honey...I have checked with my friends who are are aware of the honey quality..all said it's genuine,5.0,5.0,2021-08-11
Manoj,Authentic,One of best i have used. Little pricier  but that's what's quality demand these days,5.0,5.0,2021-08-10
Kindle Customer,Best,Best in the market,5.0,5.0,2021-08-09
Nayan,Finally got pure honey.. Hopefully it will maintain the same..,Natural flavor..Price.. Of course higher than other brands.. but worth of it.. I got 500gm for 463rs.Unless u mix it.. it will not disperse in water that's a sign of purity..Packing was awesome..No chance of leakage or anything..Very happy with product.. thnq Amazon n all..,5.0,5.0,2021-08-09
Sarsvati,Adultrated,Adultrated and u can see the sugar .I ordered 5 boxes and all are the same .I havent opened them even .,1.0,5.0,2021-08-09
Venkatesh,Seems pure,you can buy it @400 rupees per 500 grams.Better than other brands...Try this brand first... almost right from the Honeycomb...,5.0,5.0,2021-08-09
Kiran,Tastes weird,"I bought this in July after going through many reviews , question answers, ratings. I thought I wont write this feedback, but as it's related to health, am just mentioning this here.I dont know how people are testing ( with hot water, nail drop etc etc ). What I checked is just the taste and it's very bitter and odd. Even that was fine, when I checked their bunch of certificates and authenticity claim. What I felt after consuming is important here. Due to the weird taste, I got vomiting sensation. And it didn't happen one time. Every time I try to take it with whichever method, it just makes you feel odd. May be too much of china sugar or due to the jiggery  ( as some review suggested :-) ) .. I don't know why but it doesn't give you a feel of satisfaction of consuming a good quality raw organic honey. Sorry to the sellers as your claims are thrashed as I also liked the packing, bottle, certificate claim papers & label quality .. but can't ignore the weird sensation in Taste :-( ... Now it's upto the individuals to take a informed call.",1.0,5.0,2021-08-09
Flavio,very good,a little expensive,5.0,5.0,2021-08-08
somnath ghosh,Excellent quality,Excellent quality honey. It's beyond my expectations.,5.0,5.0,2021-08-07
Venky,This is the best 👍 honey🍯,"This is the best 👍 honey🍯 I ever taste ☺️ ,it's pure Original honey , everyone has to taste it blindly u can go for it😍",5.0,5.0,2021-08-07
Alt,This honey is just awesome 👌😍,"First of all i really liked the packaging of honey and after that the certificates of testing thru lab and based on that there is no rice syrup sweetner added and finally when i opened the bottle and tasted, Blive me it was Real and original honey and it tastes really Good. I like it thank you so much i was looking for real honey for any cost but even if this product is lil high but it is worthy blive me. Thank you so much founder/manufacturer of Indigenous honey and Amazon. Go for it without any doubt ☺️😍",5.0,5.0,2021-08-06
Trishant,My choice of honey for the whole life!,"The way they have sent product details, that just amazed me! I have never been the one who junps to write a product review! But, to all the honey lovers, who have a tad bit of suspicion on originality of honey whenever you pick a jar of honey in your hands… this is the best product out dere! No wonder they have gotten such good reviews…! Amazing job indigenous honey..!!",5.0,5.0,2021-08-06
Kumar,Fraud brand sugary honey,This is not pure honey. Lots of sugar in it. Ended up throwing in the trash. Charging premium price for a fraud product is crime.,1.0,5.0,2021-08-06
umashankar,Good Honey,Pure honey with NMR tested,5.0,5.0,2021-08-06
Divyesh,Not good,The flavour of this honey is not good compare two to other honey I collected from farms,2.0,5.0,2021-08-06
Saranya,adultrated honey,"It tastes more artificial! looks like its adultrated. i orginal honey is not that much sweet in taste, instead it has a little bit of sour taste in it! This honey tastes extremely sweet. I really doubt the purity of this honey. not value for money. waste of money",1.0,5.0,2021-08-05
8308616900,Excellent buy,"The merchants selling this honey have taken pains to educate us about real, unrefined PURE ORGANIC HONEY, which is great, coz we Indians have been cheated by huge corporates all our lives by lying to us about REAL honey. The flavour is rich, super sweet (naturally) and thick! Pure goodness. Will always come back now. Thank u.",5.0,5.0,2021-08-05
Ajith,Thick and nice,I had tried many brands of honey... well known and local brands. So far this is the best and most consistent honey I have come across.,5.0,5.0,2021-08-03
Arnab Nandi,Beat Honey,Loved this honey. Best one i have ever tasted. Has a soft flavor or aroma.,5.0,5.0,2021-08-02
Sivikumar S,Value for money,Very good product,4.0,5.0,2021-08-02
AJITH NINAN,Looking Good.,Not yet opened. Will update.,5.0,5.0,2021-08-02
Bhaskarreddy,Tastes like some artificial sweeteners added.I don’t recommend this product,"I don’t recommended buying this product.,it’s too thick  like a jaggery that naturally available honey is different beczi tasted purely extracted honey but it has different taste and texture.",2.0,5.0,2021-08-02
Kamal m.,"Excellent honey, great flavour. Consistent quality",Flavour and consistency.  Soft mellow taste.,5.0,5.0,2021-08-01
